CODI_CAPA,NOM_CAPA_CAT,NOM_CAPA_CAST,NOM_CAPA_ANG,COORD_X,COORD_Y,EQUIPAMENT,TELEFON,ADRECA
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430156.11,4582746.344,Rbla. Catalunya. 60 (cantonada c/ Aragó) - places: 5-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430185.096,4584646.341,C. Encarnació. 130 (cantonada c/ Pi i Margall. 47-49) - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430192.1,4584086.342,Pg. Sant Joan. 183 (cantonada St. Antoni Mª Claret) - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430194.116,4581927.346,Rda. Sant Antoni. 88 (c/ Joaquim Costa) - places: 5-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430209.115,4582153.346,Pl. Universitat. s/n - places: 8-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430216.109,4582917.344,Pg. Gràcia. 64-66 (entre C/ Aragó i C/València) - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430244.093,4584917.341,C. Pi i Margall. 85-87 (C/ Sardenya - Rda. del Guinardó) - places: 5-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430246.129,4580225.349,Pl. Dante (de) - places: 5-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430254.079,4586789.339,Pg. Maragall. 391-395 (C/ Peris i Mencheta) - places: 2-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430283.108,4583055.345,C. Pau Claris. 147 (cantonada c/ València) - places: 6-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430318.109,4582856.345,C. Aragó. 278 (Pg. Gràcia) - places: 5-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430346.105,4583412.345,C. Bruc. 150 (C/ Provença) - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430364.111,4582536.346,Rbla. Catalunya. 28 aprox.  (cantonada c/ Diputació) - places: 7-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430422.11,4582695.346,Pg. Gràcia. 38-40 (C/ Consell de Cent) - places: 2-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430474.124,4580881.35,C. Cabanes. 2-10 (Av. Paral·lel) - places: 4-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430503.11,4582668.347,C. Diputació. 258 (Pg. Gràcia) - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430539.111,4582511.347,Gran Via Corts Catalanes. 609  (Pg. Gràcia) - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430554.114,4582185.348,C. Bergara. 7 - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430565.109,4582768.347,C. Diputació. 285 aprox. (cantonada C/ Pau Claris) - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430589.108,4582934.347,C. Consell de Cent. 340 (C/ Roger de Lluria) - places: 4-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430599.113,4582275.348,Pl. Catalunya. 5-7 - places: 4-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430640.077,4587064.341,Pg. Fabra i Puig. 299-303 (entre c/ Teide i Pg. Palmeres) - places: 6-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430646.12,4581368.35,Rbla. Raval. 17 (Sant Rafael) - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430648.124,4580822.351,C. Vilà i Vilà. 62 aprox. (C/ Nou de la Rambla) - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430655.114,4582141.349,Pl. Catalunya. 1 (C/ Pelai) - places: 5-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430716.111,4582461.349,C. Casp. 2-4 (Pg. Gràcia - C/ Pau Claris) - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430720.114,4582117.349,Pl. Catalunya. 23 (La Rambla) - places: 4-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430733.112,4582342.349,Pl. Catalunya. 16 - places: 20-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430740.127,4580438.352,Pl. Carlos Ibáñez. s/n - places: 4-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430749.114,4582047.35,La Rambla. 138 - Rbla. Canaletes (C/ Canuda) - places: 5-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430773.112,4582378.349,Rda. Sant Pere. 2 aprox.  (Pl. Catalunya-Pl. Urquinaona) - places: 13-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430798.109,4582721.349,Gran Via Corts Catalanes. 662 (xamfrà C/ Roger de Llúria) - places: 7-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430837.113,4582259.35,C. Fontanella. 2 (Av. Portal de l'Àngel) - places: 5-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430853.108,4582891.349,C. Bruc. 52-54 (Gran Via Corts Catalanes) - places: 5-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430872.117,4581716.351,La Rambla. 91 - Rbla. St. Josep - places: 4-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430886.121,4581115.352,Av. Drassanes. 27 - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430922.091,4585114.346,C. Cartagena. 340-350 - places: 5-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430969.11,4582552.351,Pl. Urquinaona. 6 (C/ Roger de Llúria-C/ Ausias Marc) - places: 1-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430972.093,4584848.347,C. Castillejos. 355-357 (St. Antoni Mª Claret - Trav. Gràcia) - places: 11-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,431007.089,4585363.347,C. Mas Casanova. 90 - places: 9-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,431021.118,4581551.353,La Rambla. 70 - Rbla. Caputxins - places: 6-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,431057.099,4583993.349,C. Sardenya. 293 (C/Mallorca - Pl. Sagrada Familia) - places: 7-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,431059.095,4584570.348,C. Còrsega. 597 (cantonada c/ Padilla) - places: 6-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,431061.092,4584939.348,C. Sant Antoni Mª Claret. 165 aprox. (inicio) / Trav. de Gràcia. 398-408 (C/ Cartagena) - (final) - places: 10-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,431084.069,4587999.343,Pl. Llucmajor. 10 - places: 6-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,431092.119,4581434.353,La Rambla. 46 (Rbla. Caputxins - davant Plaça Reial) - places: 6-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,431103.105,4583256.351,C. Diputació. 336 (Pg. St. Joan) - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,431117.11,4582590.352,Rda. Sant Pere. 27 (xamfrà C/ Bruc) - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,431136.076,4587056.345,Pl. Virrei Amat (Ps.Fabra i Puig. 225) - places: 2-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,431144.126,4580474.355,Moll Sant Bertran. s/n (Port Autònom de Barcelona) - places: 6-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,431156.088,4585426.348,C. Sant Quintí. 89 (C/ Mas Casanovas) - places: 6-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,431157.103,4583541.351,C. Consell de Cent. 457 aprox. (xamfrà C/ Nàpols) - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,431173.078,4586749.346,Av. Borbó. 20-38 - places: 5-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,431182.098,4584107.35,C. Marina. 266 bis (xamfrà C/ Mallorca - Pl. Gaudí) - places: 5-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,431194.14,4578568.359,Moll Adossat-Terminal D C-Stella Maris (Port Autònom de Barcelona) - places: 58-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,431257.113,4582115.354,Vía Laietana. 36 (Pl. Antoni Maura. s/n - Av. Francesc Cambó) - places: 5-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,431274.092,4584913.349,C. Dos de Maig. 309 (cantonada c/ Indústria) - places: 4-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,431330.138,4578870.359,Moll Adossat-Terminal C (Port Autònom de Barcelona) - places: 8-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,431349.108,4582766.353,C. Bailen. 4-6 (c/ Ali Bei) - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,431355.122,4580998.356,Pl. Portal de la Pau. s/n (Monument Colon / Moll de la Fusta) - places: 6-,,
