CODI_CAPA,NOM_CAPA_CAT,NOM_CAPA_CAST,NOM_CAPA_ANG,COORD_X,COORD_Y,EQUIPAMENT,TELEFON,ADRECA
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429329.182,4582925.797,Aparcament Rocas *Aribau,932373625,C Aribau. 168*170
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429346.951,4583589.129,Aparcament Gal·la Placídia,932176987,Pl Gal.la Placídia. 2
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429352.595,4580687.28,Aparcament Rius i Taulet,934235361,Av Rius i Taulet. 4*12
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429360.145,4582531.881,Aparcament Hospital Clínic,933223804,C Casanova. 148
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429367,4580651,Hotel Crowne Plaza Barcelona - Fira Center-Aparcament,934262223,Av Rius i Taulet. 1
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429379.385,4582268.526,Aparcament Asecat,934512078,C Villarroel. 145*147
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429386.042,4581495.763,Aparcament Joctana,934230476,C Calàbria. 109
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429401.193,4583043.682,Aparcament Auto Competición,932173196,C Enric Granados. 116
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429407.385,4583386.314,Aparcament Ingoper,932183977,Via Augusta. 21*23
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429410,4581063,Aparcament INEXES,934870713,Av Mistral. 66
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429412.22,4581883.144,Aparcament Blau,934539376,C Comte Borrell. 162
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429415.188,4582535.861,Aparcament Provicla,934146562,C Provença. 192*194
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429422.978,4581298.06,Aparcament Nuñez y Navarro *Rocafort,933257343,C Rocafort. 62*64
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429428,4581693,Aparcament 140 Bis,933235859,C Viladomat. 140
